sku,msrp,currency,effectiveFrom
BFGR-KO2-0006,263.18,USD,2024-01-01T00:00:00Z
BFGR-KO2-0007,162.63,USD,2024-01-01T00:00:00Z
BFGR-KO2-0008,235.45,USD,2024-01-01T00:00:00Z
BFGR-KO2-0009,245.27,USD,2024-01-01T00:00:00Z
BFGR-KO2-0010,212.51,USD,2024-01-01T00:00:00Z
BFGR-KO2-0011,208.23,USD,2024-01-01T00:00:00Z
GOOD-WTA-0001,205.81,USD,2024-01-01T00:00:00Z
GOOD-WTA-0002,162.5,USD,2024-01-01T00:00:00Z
GOOD-WTA-0003,180.1,USD,2024-01-01T00:00:00Z
GOOD-WTA-0004,162.2,USD,2024-01-01T00:00:00Z
GOOD-WTA-0005,276.51,USD,2024-01-01T00:00:00Z
GOOD-WTA-0006,226.46,USD,2024-01-01T00:00:00Z
GOOD-WTA-0007,206.26,USD,2024-01-01T00:00:00Z
GOOD-WTA-0008,211.38,USD,2024-01-01T00:00:00Z
GOOD-WTA-0009,257.9,USD,2024-01-01T00:00:00Z
GOOD-WTA-0010,265.63,USD,2024-01-01T00:00:00Z
GOOD-WTA-0011,187.83,USD,2024-01-01T00:00:00Z
COOP-DA4-0001,216.27,USD,2024-01-01T00:00:00Z
COOP-DA4-0002,195.18,USD,2024-01-01T00:00:00Z
COOP-DA4-0003,234.0,USD,2024-01-01T00:00:00Z
COOP-DA4-0004,182.7,USD,2024-01-01T00:00:00Z
COOP-DA4-0005,167.11,USD,2024-01-01T00:00:00Z
COOP-DA4-0006,158.51,USD,2024-01-01T00:00:00Z
COOP-DA4-0007,188.96,USD,2024-01-01T00:00:00Z
COOP-DA4-0008,131.52,USD,2024-01-01T00:00:00Z
COOP-DA4-0009,148.86,USD,2024-01-01T00:00:00Z
COOP-DA4-0010,191.54,USD,2024-01-01T00:00:00Z
COOP-DA4-0011,206.77,USD,2024-01-01T00:00:00Z
TOYO-OPA-0001,158.89,USD,2024-01-01T00:00:00Z
TOYO-OPA-0002,197.86,USD,2024-01-01T00:00:00Z
TOYO-OPA-0003,201.06,USD,2024-01-01T00:00:00Z
TOYO-OPA-0004,143.71,USD,2024-01-01T00:00:00Z
TOYO-OPA-0005,207.05,USD,2024-01-01T00:00:00Z
TOYO-OPA-0006,228.49,USD,2024-01-01T00:00:00Z
TOYO-OPA-0007,259.03,USD,2024-01-01T00:00:00Z
TOYO-OPA-0008,177.21,USD,2024-01-01T00:00:00Z
TOYO-OPA-0009,239.59,USD,2024-01-01T00:00:00Z
TOYO-OPA-0010,148.5,USD,2024-01-01T00:00:00Z
TOYO-OPA-0011,196.16,USD,2024-01-01T00:00:00Z
FIRE-DA2-0001,138.92,USD,2024-01-01T00:00:00Z
FIRE-DA2-0002,192.04,USD,2024-01-01T00:00:00Z
FIRE-DA2-0003,171.23,USD,2024-01-01T00:00:00Z
FIRE-DA2-0004,209.18,USD,2024-01-01T00:00:00Z
FIRE-DA2-0005,161.36,USD,2024-01-01T00:00:00Z
FIRE-DA2-0006,212.73,USD,2024-01-01T00:00:00Z
FIRE-DA2-0007,174.15,USD,2024-01-01T00:00:00Z
FIRE-DA2-0008,150.12,USD,2024-01-01T00:00:00Z
FIRE-DA2-0009,172.58,USD,2024-01-01T00:00:00Z
FIRE-DA2-0010,153.77,USD,2024-01-01T00:00:00Z
FIRE-DA2-0011,142.86,USD,2024-01-01T00:00:00Z
WIXF-XP50001F,16.72,USD,2024-01-01T00:00:00Z
FRAM-XG0001ULT,10.79,USD,2024-01-01T00:00:00Z
NGKP-LFR01AIX,21.87,USD,2024-01-01T00:00:00Z
BSCH-SP996201,21.7,USD,2024-01-01T00:00:00Z
WIXF-XP50002F,13.34,USD,2024-01-01T00:00:00Z
FRAM-XG0002ULT,10.91,USD,2024-01-01T00:00:00Z
NGKP-LFR02AIX,14.43,USD,2024-01-01T00:00:00Z
BSCH-SP996202,16.85,USD,2024-01-01T00:00:00Z
WIXF-XP50003F,13.94,USD,2024-01-01T00:00:00Z
FRAM-XG0003ULT,12.93,USD,2024-01-01T00:00:00Z
NGKP-LFR03AIX,15.86,USD,2024-01-01T00:00:00Z
BSCH-SP996203,18.09,USD,2024-01-01T00:00:00Z
WIXF-XP50004F,12.88,USD,2024-01-01T00:00:00Z
FRAM-XG0004ULT,11.16,USD,2024-01-01T00:00:00Z
NGKP-LFR04AIX,16.85,USD,2024-01-01T00:00:00Z
BSCH-SP996204,21.67,USD,2024-01-01T00:00:00Z
WIXF-XP50005F,12.92,USD,2024-01-01T00:00:00Z
FRAM-XG0005ULT,15.02,USD,2024-01-01T00:00:00Z
NGKP-LFR05AIX,14.67,USD,2024-01-01T00:00:00Z
BSCH-SP996205,13.8,USD,2024-01-01T00:00:00Z
WIXF-XP50006F,12.9,USD,2024-01-01T00:00:00Z
